name,sub_name,score,price,labels,introduction,address
譚仔三哥米線,TamJai SamGor,3,$50以下,滇菜 (雲南)/粉麵/米線/咪嘥嘢食店,,東涌逸東街8號逸東商場一期地下9號舖
高佬酸辣粉,Sour & Spicy Noodle,3.5,$50以下,川菜 (四川)/粉麵/米線/小食店,,東涌馬灣涌村涌口街92號地下
莆田,PUTIEN,4,$101-200,閩菜 (福建)/海鮮,,赤鱲角香港國際機場一號客運大樓離港層東大堂7樓7E181號舖
海景海鮮酒家,Hoi King Seafood Restaurant,3.5,$101-200,粵菜 (廣東)/海鮮/點心/中菜館/酒樓,,坪洲永安橫街13-15號地下
東涌羅漢寺,,3.5,$51-100,粵菜 (廣東)/素食/中菜館,,東涌石門甲村羅漢寺五觀堂
海泓廳,Grand Azure,3.5,$201-400,粵菜 (廣東)/西式,,愉景灣海澄湖畔路88號香港愉景灣酒店地下
續杯,Share Cup,,$50以下,台灣菜/台式飲品,,東涌富東街6號富東廣場地下20號舖
黃記煌三汁燜鍋,,4,$101-200,京菜 (官府菜)/火鍋/海鮮/雞煲,,尖沙咀加拿分道16號金輝大廈1樓
為食仔海鮮火鍋專門店,Hungry Boy,3.5,$201-400,川菜 (四川)/火鍋/海鮮/壽司/刺身/串燒,提供多款特色鍋底的新派海鮮火鍋店，招牌菜為卜卜蜆鍋及龍蝦海鮮鍋。,旺角白布街4號地舖
海底撈火鍋,Haidilao Hot Pot,4,$201-400,川菜 (四川)/火鍋,來自內地的人氣火鍋店，以貼心服務著稱，提供變臉表演、美甲服務及兒童遊樂室。食物則推介蝦滑、鴨腸及日本和牛等。,油麻地彌敦道555號九龍行2-3樓
鹿角巷,The Alley,3.5,$50以下,台灣菜/台式飲品,來自台灣的人氣茶飲店，每日限量發售的招牌「光飲系列」賣相夢幻，適合喜歡「相機食先」的朋友。,尖沙咀彌敦道27-33號良士大廈地下F舖
至尊重慶雞煲,Supreme Restaurant,3.5,$101-200,川菜 (四川)/火鍋/雞煲,,旺角彌敦道593-601號創興廣場16樓
安安燒,On On BBQ,3.5,$101-200,港式/川菜 (四川)/海鮮/串燒,營業至凌晨的串燒店。推介芝士燒生蠔、燒原條鮮魚及黑松露菌醬三重芝士撈丁。,旺角染布房街6號地舖
上海婆婆336,Shanghai Po Po 336,3.5,$101-200,滬菜 (上海)/中菜館,裝修新潮的上海菜餐廳。,尖沙咀彌敦道63號iSQUARE國際廣場6樓605-606號舖
金牌小龍,King's Dumpling,4,$101-200,台灣菜/中菜館,,尖沙咀彌敦道63號iSQUARE國際廣場3樓301號舖
龍鳳祥餃子館,Dumpling Pro,3.5,$50以下,川菜 (四川)/東北菜/雲吞/餃子,,佐敦白加士街53號地下
雞匠,Chicken Expert,4,$51-100,粵菜 (廣東)/雞煲/中菜館,,尖沙咀柯士甸路15號地下A號舖
表叔火煱,,4,$101-200,粵菜 (廣東)/火鍋/串燒/中菜館/串燒店,,大角咀福全街19號地下
漁樂鍋,,4.5,$101-200,順德菜/火鍋/海鮮/茶餐廳/冰室,,紅磡必嘉街112號紅磡灣中心地下20號舖
点心代表,Dim Sum Icon,3,$101-200,粵菜 (廣東)/點心/名人店,由藝人莊思敏開設的新派點心店。裝潢風格舒適乾淨，餐廳食物以特色卡通造型為題，用上有機原材料、點心即叫即做。,尖沙咀彌敦道100號The ONE 3樓L308號舖
潮福蒸氣火鍋,,4,$201-400,粵菜 (廣東)/火鍋/點心/蒸氣火鍋/酒樓,,深水埗欽州街94號黃金商場1樓全層
壹食就醉,Jolly Restaurant,4,$101-200,粵菜 (廣東)/港式/火鍋/中菜館,,尖沙咀金巴利道77號東南大廈1樓
龍苑中菜廳,Loong Yuen Cantonese Restaurant,4,$201-400,粵菜 (廣東)/海鮮/點心/中菜館/酒店餐廳,"一所把傳統與現代結合的特色中菜廳，提供正宗的廣東美食、
各種生猛海鮮、午市精美點心及特色素食，亦精於炮製各款珍饈百味，時令食譜及家鄉小炒。",尖沙咀彌敦道50號金域假日酒店低層1樓
香宮,Shang Palace,4,$401-800,粵菜 (廣東)/海鮮/點心/酒樓/酒店餐廳,香宮供應正宗粵菜，餐廳裝飾極富傳統中式風格。,尖沙咀麼地道64號九龍香格里拉大酒店地庫1層
潮州合成甜品,Chiu Chow Hop Shing Dessert,3.5,$50以下,潮州菜/甜品/糖水,「合成」潮州糖水可謂食到街知巷聞，特色的潮州糖水人人稱讚。總店位於深水步石硤尾街，連粉麵亦有供應，而這間九龍城分店則只售糖水，水準穩定。,九龍城龍崗道9號地下
紫荊閣,Bauhinia Kitchen,4,$201-400,粵菜 (廣東)/火鍋/中菜館,,紅磡蕪湖街83號逸酒店1樓
利寶閣,Star of Canton Restaurant,3.5,$201-400,粵菜 (廣東)/點心/雲吞/餃子/酒樓/少鹽少糖食店,利寶閣位於奧海城靠近柏景灣和富榮花園的一邊。其精美的食物和舒適的環境吸引了附近的居民，奧海城的遊人和鄰近一帶辦公室的上班一族前來光顧。,大角咀海庭道18號奧海城二期商場UG01號舖
海港薈,Victoria Harbour Supreme,4.5,$101-200,粵菜 (廣東)/酒樓,,尖沙咀北京道1號9樓
非凡小廚,,4,$51-100,粵菜 (廣東)/港式/火鍋/茶餐廳/冰室,中式小菜館，供應巧手小炒、家常小菜和炒粉麵飯，款式種類多而且環境整潔，是不少街坊的飯堂。,土瓜灣北帝街22號地舖
海景軒,Hoi King Heen,4,$401-800,粵菜 (廣東)/點心/中菜館/酒店餐廳,海景軒提供地道的家常粵菜，傳統中式美食。大廚提供由廣東菜色以至鮮為人知的特色佳餚，在周末會更供應各式特色點心。,尖沙咀麼地道70號海景嘉福酒店B2層
天龍軒,Tin Lung Heen,4,$401-800,粵菜 (廣東)/點心/中菜館/酒店餐廳,天龍軒中餐廳裝潢以紅木為主，加上落地玻璃窗，讓您一邊品嚐廚師烹調別致的粵菜，一邊飽覽香港醉人景色。餐廳備有獨立宴會廳，適合款客及慶祝活動。,尖沙咀柯士甸道西1號環球貿易廣場(ICC)香港麗思卡爾頓酒店102樓
梨滿園韓國料理,YoLi,4,$101-200,韓國菜/韓燒,主打傳統韓式BBQ烤肉及鍋物，裝修風格更融入古代韓國家庭的感覺。食材經過嚴格挑選，包括韓牛及大蝦。另有炸雞和醬油蟹等韓式料理供應。,旺角通菜街1A-1L號威達商業大廈Deli2 1樓
平昌 Premium,Pyeong Chang Premium,4,$101-200,韓國菜/烤肉/韓燒,,佐敦彌敦道219號莊士倫敦廣場5樓
琥酌,,4,$201-400,日本菜/烤肉/居酒屋,,尖沙咀海防道38-40號中達大廈11樓
漁場台風,Isaba Taifu,4,$51-100,日本菜/拉麵,,旺角快富街39號建煌華廈地舖
辛安東元祖奶奶雞,Spicy Andong,3.5,$101-200,韓國菜,香港第一間供應韓式燉雞的餐廳，燉雞份量足，加入大量蔬菜和水晶薯粉燉煮，鹹甜辣三味紛陳，值得一試。,旺角白布街20號地下
德美壽司,Sushi Tokumi,4,$101-200,日本菜/壽司/刺身,,尖沙咀厚福街8號H8 5樓
Via Tokyo,,4,$50以下,日本菜/甜品/糖水/雪糕/乳酪,,尖沙咀金馬倫道29號A地舖
古今二,KOKON2,4,$201-400,日本菜/壽司/刺身/居酒屋,"餐廳除了一般的壽司刺身外，最爲特別的是壽司卷(Maki Roll)，類似市場上的“創意卷物”。在這裡能夠嘗到美加特有的各種壽司卷，如蜘蛛(Spider Roll)、彩虹卷(Rainbow Roll)、火山(Volcano Roll)等。
順帶一提，老闆剛從加勒比海回港。曾任職酒店廚師的他，一心希望把這種壽司卷手藝帶回香港。",觀塘觀塘道436-446號官塘工業中心4期1樓B室
泰聚,Thai Gather Restaurant & Bar,4,$101-200,泰國菜/咖喱/串燒,由泰國廚師烹調正宗泰菜，配搭泰式的裝修，令食客彷如置身於泰國的感覺。除了傳統大路的泰國菜式，原個菠蘿及西瓜沙冰最為吸眼，啖啖新鮮果肉，最適合炎夏解暑。,太子花園街239號嘉慶苑地下
元祖沾麵專門店,Ganso Tsukemen,3.5,$51-100,日本菜/拉麵,,尖沙咀厚福街5-6號多富閣地下5號舖
御滿屋日本料理,Superior Manya Japanese Restaurant,4,$201-400,日本菜/拉麵/壽司/刺身/日式放題/居酒屋,,旺角彌敦道655號胡社生行1樓
定食 Doraya,Japanese Restaurant Doraya,4,$101-200,日本菜/壽司/刺身,此店以日本定食為主，其中以吞拿魚做的菜式最為馳名。,尖沙咀厚福街8號H8 6樓
八幡屋涮涮鍋,Yahataya Shabu Shabu,4,$101-200,日本菜/火鍋/壽司/刺身/日式放題,,旺角彌敦道628號瓊華中心12樓全層
至尊滿屋日本料理,Supreme Manya Japanese Restaurant,4,$201-400,日本菜/日式放題,,旺角彌敦道628號瓊華中心7樓全層
Whitewood Coffee,,3.5,$51-100,西式/咖啡店,,沙田石門安群街3號京瑞廣場一期2樓207號舖
亞蘇爾,Azores,4,$101-200,葡國菜,,沙田沙田正街18號新城市廣場1期1樓107號舖
Beerliner German Bar & Restaurant,,3.5,$101-200,德國菜,,屯門屯隆街3號屯門市廣場1期3樓3227-3228店
La Postre,,4,$201-400,西班牙菜/甜品/糖水,有四間分店的西班牙菜餐廳，環境舒適優雅，不時推出時令主題菜式，招牌菜為芝士煎蟹餅、西班牙豬手及麻糬窩夫。,元朗元龍街9號形點一期地下G010號舖
Say Cheese,,4,$51-100,西式/甜品/糖水/雪糕/乳酪/咖啡店,Say Cheese是一間適合家庭樂的歐陸式餐廳，自家製創作甜品、飲品以及瑞士頂級Movenpick雪糕為主。採用開放式廚房，餐廳氣氛溫馨親切。,將軍澳唐德街9號將軍澳中心1樓173號舖
Cafeholic,,3.5,$101-200,西式/咖啡店,,沙田沙田正街3-9號希爾頓中心3樓63號舖
名捌月,Famous August,4.5,$101-200,西式,,荃灣路德圍登發街10號地舖
孖寶小館,Twins Bistro,4,$101-200,意大利菜/西式/西式糕點 /扒房/咖啡店,,上水新成路109號地下
荳子,BEANS The Courtyard,3.5,$101-200,西式/甜品/糖水/All Day Breakfast/咖啡店,文青路線Cafe，意粉主食有水準，甜品款式眾多而且賣相吸引。,大埔安邦路9號大埔超級城D區地下670A-671A號舖
唐,Tong's road house seafood + grill,4,$201-400,西式/海鮮,,元朗屏山唐人新村路1號地舖
Simplylife Cafe,,3.5,$51-100,西式,,葵芳興芳路223號新都會廣場5樓547-565號舖
Route 83,,4,$51-100,西式/多國菜/薄餅/漢堡包/沙律/咪嘥嘢食店,,大埔廣福道83號地舖
Casa Cafe & Bistro,,4,$51-100,西式/薄餅/All Day Breakfast/咖啡店,,馬鞍山鞍駿街29號海澄軒地下4號舖
La Terrazza Bar & Grill,,3.5,$101-200,意大利菜/西式,"意國度假式餐廳，引入一系列獨特歐陸美饌，並展示非一般意式食店格調，令置身鬧市的顧客可以放下腳步，輕鬆體驗意國飲食文化。

另此餐廳室內及戶外環境寬敞開揚，飽覽城門河岸優美景致，適合舉辦不同類型的私人聚會、節日慶祝派對及婚宴派對理想之選。",沙田源禾路1號沙田大會堂天台花園
牧羊少年漂書館,The Alchemist Book Café,4,$101-200,西式/All Day Breakfast/咖啡店,,荃灣大河道72號荃灣大會堂地下前廳
擦餐飽,Jajambao,,$50以下,粵菜 (廣東)/港式/美食車,,"大嶼山金紫荊廣場, 迪士尼樂園(各區流動)"
舢舨海鮮酒家,Sampan Seafood Restaurant,2.5,$201-400,粵菜 (廣東)/海鮮/點心/中菜館/海鮮酒家,,南丫島榕樹灣大街16號地下
十足風味,,3.5,$50以下,粵菜 (廣東)/燒臘/雲吞/餃子/茶餐廳/冰室,,東涌東涌海濱路海堤灣畔商場地下N號舖
龍江川粵菜館,Lung Kong Restaurant,3.5,$101-200,粵菜 (廣東)/川菜 (四川)/中菜館,,南丫島榕樹灣大街38號地下
泰苑魚翅海鮮酒家,Tai Yuen Restaurant,3.5,$101-200,粵菜 (廣東)/中菜館/咪嘥嘢食店,,南丫島索罟灣第一街15號地下
大頭蝦南風海鮮酒家,King's Prawn Nan Fong Seafood Restaurant,2.5,$51-100,粵菜 (廣東)/酒樓,,東涌黃泥屋村2號地下
粵廚點心專門店美食車,Canton Kitchen Dim Sum Expert Food Truck,,$50以下,粵菜 (廣東)/港式/點心/美食車,,"大嶼山香港迪士尼樂園, 尖沙咀藝術廣場(各區流動)"
池記,Chee Kei,3,$51-100,粵菜 (廣東)/粉麵/米線/粥品/雲吞/餃子,,赤鱲角香港國際機場一號客運大樓6樓離港層西大堂食東西(禁區)
強記餐廳小廚,Lantau Taste,4,$50以下,粵菜 (廣東),,大嶼山梅窩銀礦中心大廈地下A1號舖
迪士尼中菜廳(美心),,3,$101-200,粵菜 (廣東),,大嶼山香港迪士尼樂園幻想世界區
鏞記,Yung Kee Restaurant,3.5,$201-400,粵菜 (廣東)/燒臘/中菜館,,赤鱲角香港國際機場一號客運大樓6樓離港層西大堂食東西(禁區)
大興海鮮酒家,Tai Hing Seafood Restaurant,4,$401-800,粵菜 (廣東)/海鮮/中菜館/海鮮酒家,,南丫島榕樹灣大街53號地下
美中·鴨子,M&C‧DUCK,3.5,$101-200,京川滬/中菜館,很受家庭客人歡迎的中菜館，以烤北京填鴨作招徠，鴨肉細嫩，肉汁香甜。,將軍澳唐德街9號將軍澳中心商場地下G105-106號舖
三星台菜食堂,Tristar Kitchen,3.5,$101-200,台灣菜/名人店,歌手藝人傅珮嘉開設的台菜餐廳，由台灣人大廚主理。主打地道台灣菜，招牌三星牛肉麵內有牛肚、牛腩及牛根。也有提供甜不辣及鹽酥雞等小食。,沙田沙田正街18號新城市廣場1樓128號舖
夏麵館,Xia Mian Guan,3.5,$51-100,滬菜 (上海)/粉麵/米線/中菜館,在香港已有數間分店的上海菜館，價錢公道，主打擔擔麵、小籠包及各款上海小菜。,荃灣沙咀道328號寶石大廈地下12-15號舖
茶木‧台式休閒餐廳,TeaWood Taiwanese Cafe & Restaurant,4,$51-100,台灣菜/甜品/糖水/咖啡店,,屯門屯隆街3號屯門市廣場一期3樓3205號舖
茶木‧台式休閒餐廳,TeaWood Taiwanese Cafe & Restaurant,4,$51-100,台灣菜/甜品/糖水/咖啡店,,"荃灣楊屋道1號荃新天地一期地下G60, G62, G79號舖"
八一蕃巴蜀烤魚店,Yaichi Ban Bashu Grill Shop,4,$101-200,川菜 (四川)/火鍋/粉麵/米線/中菜館,"本店集湘川兩地水煮活魚之大成 , 食材選用青魚 ( 草鯇 ) 圴用最佳飼料餵飼 , 經香料奄制 , 上架烤至皮香肉滑 , 出桌前加上特制湯汁慢火煨煮至入味 , 進食時色香味俱全",荃灣鱟地坊48至68號祐建樓地下D舖
慧食貓,,4,$50以下,港式/台灣菜/小食店,,葵芳葵富路7號葵涌廣場1樓B01C號舖
麻辣川米線,Smart Rice Noodles,4,$50以下,川菜 (四川)/粉麵/米線,,葵芳信芳街36號豪勝閣地下E號舖
沐白小農,I'Milky,4,$50以下,台灣菜/台式飲品,,元朗裕景坊27-31號金倫大廈地下4號舖
佐料佑麵,,3.5,$50以下,川菜 (四川)/粉麵/米線,,元朗大棠路48-72號安福大樓地下64號鋪
六福菜館,Loaf On,4,$201-400,粵菜 (廣東)/海鮮/海鮮酒家,位於西貢市集的海鮮酒家，您可以自帶海鮮到餐廳，由廚師為您烹煮海鮮菜式。招牌菜有脆皮風沙雞，須預訂。,西貢市場街49號地舖
陳根記,,3.5,$101-200,粵菜 (廣東)/大牌檔,,沙田石門安群街3號京瑞廣場二期地下五號舖
饑落亭,,3.5,$51-100,粵菜 (廣東)/大牌檔,,大埔大明里12號儲金閣地下12-14號舖
潮庭,Chiuchow Garden,3.5,$101-200,潮州菜/中菜館,,將軍澳唐德街9號將軍澳中心2樓220A及220B號舖
明珠閣,Pearl Delight,3.5,$101-200,粵菜 (廣東)/點心,"明珠閣於2014年於沙田新城市廣場開業，菜式以廣東點心及小炒為主，一直深受大眾歡迎。

明珠閣帶來一系列新派點心及小菜；菜式注重食材的原有鮮味，採用來自不同國家的材料，包括有日本松葉蟹、澳洲和牛、 亞拉斯加皇帝蟹、 美國安格斯牛肉等等。在烹調手法上，則在傳統上融入新派煮法，帶來耳目一新的味道組合，而賣相亦走清新簡約的路線，打造出時尚又輕鬆的感覺。

室內設計走輕鬆年青格調，以幼身直木條造出的餐廳外欄，充滿時尚感覺及線條美，餐廳內亦用上鐵腳製的木桌，簡潔俐落，帶出更大的空間感；牆上掛了金屬製的藝術裝飾品，摩登簡約。",沙田沙田正街18號新城市廣場一期127號舖
海港酒家,Victoria Harbour Restaurant,3.5,$101-200,粵菜 (廣東)/火鍋/點心/酒樓,,荃灣青山公路荃灣段388號中國染廠大廈(8咪半)7樓701-703號舖
文記火鍋,Man Kee Catering,4,$101-200,粵菜 (廣東)/港式/火鍋,,大圍積信街69-75號立和樓地下B舖
粵,YUE,4,$201-400,粵菜 (廣東)/點心/中菜館/酒店餐廳/咪嘥嘢食店,香港黃金海岸酒店「粵」為客人提供各款匯聚傳統特色和嶄新創意的菜式、精製巧手點心及茗茶美酒。餐廳更設有戶外茶座，賓客可一邊享受陽光，一邊迎著清甜空氣與花香，置身於雅致的環境下，與良朋知己共嘗佳餚美點。,屯門青山公路1號香港黃金海岸酒店低層地下
海天花園酒家,Hoi Tin Garden Restaurant,3.5,$201-400,粵菜 (廣東)/海鮮/點心/海鮮酒家,,屯門青山灣三聖邨三聖街5號
稻香訓練酒樓,Tao Heung Training Restaurant,3.5,$101-200,粵菜 (廣東)/海鮮/點心/酒樓/會所/咪嘥嘢食店/少鹽少糖食店,,火炭坳背灣街13號鍾偉平大樓地下
豐生水起,Hot Pot Market,4,$201-400,粵菜 (廣東)/港式/火鍋/點心/中菜館/少鹽少糖食店,,大埔翠和里5號麗和閣地下F號舖
東海薈 · 拉斐特,East Ocean‧Lafayette,3.5,$201-400,粵菜 (廣東)/海鮮/大閘蟹/點心/酒樓,,青衣青敬路33號青衣城1樓117號舖
稻香,Tao Heung,3,$101-200,粵菜 (廣東)/火鍋/點心/酒樓/少鹽少糖食店,,荃灣眾安街68號荃灣千色匯I期4樓A號舖
青葉海鮮酒家,Holly Restaurant,4,$101-200,粵菜 (廣東)/點心/酒樓,,屯門青山公路新墟段199號好勝大廈地舖
潮庭,Chiu Chow Garden,3.5,$101-200,潮州菜/中菜館,,葵芳興芳路223號新都會廣場5樓511至530號舖
鮨一心,Sushi Isshin,4.5,$401-800,日本菜/壽司/刺身/廚師發辦,,元朗安良里5號地下1-2號舖
越一越南牛肉粉專門店,Pho 1,4,$51-100,越南菜/粉麵/米線/咪嘥嘢食店,,荃灣青山公路275號富裕樓地下G4-6號舖
霸嗎拉麵,Bari-Uma,4,$51-100,日本菜/拉麵,,將軍澳貿業路8號新都城中心2期1樓1070-71號舖
麵屋丸京,Maru Kyou,4,$51-100,日本菜/拉麵,,葵芳興芳路188號地舖
小曼谷泰國美食,Mini Bangkok,3.5,$51-100,泰國菜/粉麵/米線/咖喱,,屯門青善街康景花園
緣聚,Together,4,$101-200,日本菜/壽司/刺身/日式放題,,"屯門仁愛堂圍45號興泰大廈地下1,1A, 2至8號地舖"
金田家,Kanada-ya,4,$51-100,日本菜/拉麵,,荃灣楊屋道1號荃新天地1期UG層28及30號舖
小確幸,,4,$50以下,日本菜/甜品/糖水,主打來自札幌的布甸燒，有原味、朱古力及抹茶味，全人手製作，每日限量及限時發售。,元朗馬田路50號朗景臺2座地下12號舖
桜,Sakura,4,$50以下,日本菜/壽司/刺身/小食店,,元朗又新街35號地下7B號舖
少爺泰,Mr.Thai,4,$101-200,泰國菜,,沙田沙角街8-12號沙田花園城1期地下3A-3F號舖
冬蔭公公,Tom Yum Tom Yum,3.5,$51-100,泰國菜/粉麵/米線/咖喱,餐廳由正宗印度廚師組成，主要提供泰國、印度等東南亞地區美食如濛粉、咖喱等。,沙田沙田車站圍1號Citylink 1樓106號舖
NeNe Chicken,,3.5,$101-200,韓國菜/韓式炸雞,由國民MC劉在石代言的韓國人氣炸雞品牌過江到港，炸雞分原味、芝士、甜辣等不同口味，推介灑上芝士粉的初雪炸雞，芝士及醬汁均由韓國直送到港。,葵芳興芳路223號新都會廣場L1層185號舖
呦呦鹿鳴布丁燒,,4,$50以下,日本菜/甜品/糖水/西式糕點 /小食店,,葵芳葵富路7號葵涌廣場3樓TOP世界3069-T5-T6號舖
NeNe Chicken,,3.5,$101-200,韓國菜/韓式炸雞,,元朗元龍街9號形點一期1樓1026號舖
嶼意坊,Lantana,4,$101-200,意大利菜/薄餅,,大嶼山長沙下村40號
PizzaExpress,,4,$101-200,意大利菜/薄餅/無肉餐單,,愉景灣廣場徑2號愉景廣場A座地下G01B號舖
芝味鳥,Pizza Bird Pizza and Chicken,3,$51-100,意大利菜/薄餅/外賣店,,東涌黃泥屋2A-2B地下
漢堡王,Burger King,4.5,$51-100,美國菜/漢堡包,,赤鱲角香港國際機場一號客運大樓6樓離港層美食廣場
意粉屋,The Spaghetti House,3.5,$101-200,意大利菜/薄餅,,赤鱲角香港國際機場一號客運大樓7樓離港層東大堂7E128號舖(禁區)
太平洋咖啡,Pacific Coffee Company,3.5,$50以下,美國菜/沙律/西式糕點 /咖啡店,,東涌達東路20號東薈城名店倉2樓243號舖
長洲 B&B,B&B Cheung Chau,,$101-200,西式,,長洲東灣路12-14號地舖
少店主,Siu Bistro,,$51-100,西式,,長洲大新後街102號地下
長洲滑浪風帆中心露天茶座,Cheung Chau Windsurfing Centre & Outdoor Cafe,3.5,$50以下,西式/酒/咖啡店,水上活動中心配上無敵大海景，自然吸引路過的遊人。茶座內的廚房雖然細小，但仍能滿足嗜食的您。欣賞海景之餘，可以試試他們的茶香骨、魚扒和炸大蝦。,長洲黑排路1號
Tung Chung Pizza,,4,$51-100,意大利菜/美國菜/薄餅,,東涌東涌道上嶺皮9B號地舖
東海堂,Arome Bakery,3.5,$50以下,西式/麵包店,,東涌港鐵東涌站5號舖
太平洋咖啡,Pacific Coffee Company,,$50以下,美國菜/沙律/西式糕點 /咖啡店,,赤鱲角香港國際機場亞洲國際博覽館10-11號展館之間
彗星餐廳,comet cafe,3,$51-100,西式/漢堡包/快餐店,,大嶼山香港迪士尼樂園明日世界區
咖啡窩,Coffee Hut,4,$51-100,港式/西式/咖啡店/茶餐廳/冰室,,東涌馬灣新村10號地舖
康蘭泰式食,,,$50以下,泰國菜/粉麵/米線/燒烤/咖喱,,長洲北社街62號地下
印度美食風味屋,Mirch Masala Indian Restaurant,2,$101-200,印度菜/燒烤/咖喱,,愉景灣愉景北商場地下G29號舖
梅光軒,Baikohken Ramen,2.5,$51-100,日本菜/拉麵/Food Court,,赤鱲角香港國際機場一號客運大樓第六層離港層西大堂食東西6W524號舖(禁區)
Cafe Isara,,,$101-200,泰國菜,,大嶼山梅窩碼頭路18A號地下3號舖
misocool,,3,$51-100,日本菜/拉麵/雲吞/餃子,,赤鱲角香港國際機場一號客運大樓5樓抵港層入境大堂前區域5E517C號舖(禁區)
瀛窩居,,,$51-100,日本菜/拉麵/鐵板燒/壽司/刺身,,長洲建新里13號
鹿角餐廳,Deer Horn Restaurant & Bar,,$51-100,尼泊爾菜/西式/酒吧,尼泊爾餐廳，推介正宗尼泊爾咖喱，微辣並帶香料味。由尼泊爾入口的犛牛乳酪也值得一試。,大嶼山梅窩銀運路3號梅窩中心地下11號舖
碧林餐廳,Tahitian Terrace,2.5,$50以下,新加坡菜/清真認證食品/快餐店,,大嶼山香港迪士尼樂園探險世界區
滋味屋,Yummy House,,$50以下,港式/日本菜/拉麵/壽司/刺身/烏冬/外賣店,,長洲長洲大新街77号地下
華御結,Hana-Musubi,,$50以下,日本菜/壽司/刺身,,赤鱲角順暉路33號港珠澳大橋香港口岸旅檢大樓1樓501號舖
Sunday韓式炸雞,Sunday Korean Chicken,,$50以下,韓國菜/韓式炸雞,,南丫島榕樹灣大街
海之日日本料理,Hoi Chi Yat Japanese Restaurant,3.5,$51-100,日本菜/壽司/刺身,,長洲大新後街144號地舖
榕樹棧,,3.5,$50以下,日本菜/小食店,有壽司、拉麵。也有中西式甜品、糖水。,長洲青龍後街81號地下
東大門韓國食品,,3.5,$51-100,韓國菜,,東涌富東村萬有街市F43號舖
Curry Lounge,,3.5,$101-200,印度菜/咖喱,,東涌東涌海濱路8號海堤灣畔地下S號舖
ZUC.CCH.ERO,,4,$101-200,西式/甜品/糖水/雪糕/乳酪/西式糕點 /酒吧/樓上cafe,以賣相精緻吸引的甜品而聞名，擺碟精美，店員更會即席在客人面前做甜品及「畫畫」，每款甜品均如藝術品一樣，適合喜歡「相機食先」的朋友。,銅鑼灣耀華街3號百樂中心18樓1802-3室
Alto,,3.5,$401-800,西式/Fine Dining/扒房,坐擁維港景色的西式餐廳，座位舒適，裝橫有格調，設有半自助午餐，可任食沙津及甜品。,銅鑼灣登龍街18號V Point 31樓
Lily & Bloom,,4,$401-800,美國菜/蠔吧,,中環蘭桂坊雲咸街33號LKF Tower 5樓
Westwood Carvery,,4,$201-400,美國菜/酒/扒房,餐廳位於蘭桂坊，亦設樓上雅座。餐廳內部裝修帶歐陸風情，加上柔和燈光，感覺溫馨。多款脆炸、燒烤特式小食，特別推介低溫慢烤牛扒。,中環蘭桂坊和安里2號地舖
Bovini Steakhouse & Bar,,4,$201-400,意大利菜/美國菜/扒房,大坑西餐小店，店內只有大約二十個座位，由英國人主理。食物選擇雖然不太多但都是誠意之作，如招牌蟹餅及肉眼牛排等。,大坑銅鑼灣道128號地舖
Otto Restaurant,,4,$401-800,法國菜/海鮮,灣仔老字號生記海鮮飯店創立接近半世紀，飯店老闆黃先生貫徹理念創立Otto restaurant。Otto Restaurant是一間提供法國及意大利混合菜主題的高級食府，總廚Kevin Yeung 曾任職各大酒店高級法國食府總廚，於2015年法國美食協會週年聚會中受頒獎項和正式成為會員。,銅鑼灣駱克道487-489號駱克駅16-17樓
Mirror & Vegan Concept,,4,$101-200,意大利菜/西式/素食,,中環皇后大道中118號9樓
白鬍子炸魚薯條,White Beard Fish n Chips,4,$51-100,英國菜/西式/快餐店,,中環中環7號碼頭地舖
紅館,Rare Restaurant,4,$101-200,意大利菜/法國菜,,中環擺花街9號地舖及地庫
Dear Lilly,,3.5,$201-400,西式/酒吧,裝修華麗、充滿歐陸風格、被花束包圍的西式酒吧餐廳。位於中環IFC 平台花園，有落地玻璃可近望中環海濱，而afternoon tea set甚具人氣，心型獨立屋坐位更是搶手的打卡位。,中環金融街8號國際金融中心商場4樓4010號舖
Al Forno Pizzeria,,4.5,$101-200,意大利菜/薄餅,有半開放式廚房，磚爐更特地從意大利訂購。主打薄餅，以意大利00麵粉手搓。,中環蘇豪鴨巴甸街41-49號金豪大廈2號舖地下上層
Greenhouse,,4,$101-200,西式/串燒,,銅鑼灣勿地臣街1號時代廣場食通天10樓1004號舖
Texas Burger,,3.5,$51-100,西式/美國菜/漢堡包/無肉餐單/快餐店,主打八款漢堡，除了標準的手打牛肉漢堡，另有烤雞及鱈魚漢堡等選擇，飲品主打美式奶昔。,天后電氣道109號地舖
Passion by Gerard Dubois,,4,$51-100,法國菜/三文治/西式糕點 /咖啡店,主打高水準的法國菜及法式甜點，亦有多款義式冰淇淋。,"灣仔皇后大道東200號利東街G11,G12及F12A號舖"
Cobo House,,4,$201-400,西式,COBO指Community of Bohemians，COBO HOUSE則是一所既讓人品嚐，亦讓人體驗及欣賞藝術品的地方，志在為世界注入波希米亞式的生活態度，並成為所有藝術愛好者交流意見想法的絕佳平台。,西環石塘咀南里8-12號地下及1樓
蜀大俠,Hero Shu,4,$201-400,川菜 (四川)/火鍋,,銅鑼灣軒尼詩道525號澳門逸園中心2樓
碗碗香,,4,$51-100,黔菜 (貴州)/粉麵/米線/中菜館,,銅鑼灣加路連山道5號地舖
